No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,PrimaryType,SecondaryType,Ability1,Ability2,HiddenAbility,Generation,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary
40,Wigglytuff,wigglytuff,140,70,45,85,50,45,normal,fairy,Cute Charm,Competitive,Frisk,1,25,75,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,1,12,50,50,1280,Fast,0,0
41,Zubat,zubat,40,45,35,30,40,55,poison,flying,Inner Focus,,Infiltrator,1,50.2,49.8,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0.8,7.5,255,50,1920,Medium Fast,0,0
42,Golbat,golbat,75,80,70,65,75,90,poison,flying,Inner Focus,,Infiltrator,1,50.2,49.8,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,1.6,55,90,50,1920,Medium Fast,0,0
43,Oddish,oddish,45,50,55,75,65,30,grass,poison,Chlorophyll,,Run Away,1,50,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.5,5.4,255,50,2560,Medium Slow,0,0
44,Gloom,gloom,60,65,70,85,75,40,grass,poison,Chlorophyll,,Stench,1,50,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.8,8.6,120,50,2560,Medium Slow,0,0
45,Vileplume,vileplume,75,80,85,110,90,50,grass,poison,Chlorophyll,,Effect Spore,1,50,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1.2,18.6,45,50,2560,Medium Slow,0,0
46,Paras,paras,35,70,55,45,55,25,bug,grass,Effect Spore,Dry Skin,Damp,1,50.2,49.8,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,0.3,5.4,190,50,2560,Medium Fast,0,0
47,Parasect,parasect,60,95,80,60,80,30,bug,grass,Effect Spore,Dry Skin,Damp,1,50.2,49.8,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,1,29.5,75,50,2560,Medium Fast,0,0
48,Venonat,venonat,60,55,50,40,55,45,bug,poison,Compoundeyes,Tinted Lens,Run Away,1,50,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1,30,190,50,2560,Medium Fast,0,0
49,Venomoth,venomoth,70,65,60,90,75,90,bug,poison,Shield Dust,Tinted Lens,Wonder Skin,1,50,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1.5,12.5,75,50,2560,Medium Fast,0,0
50,Diglett,diglett,10,55,25,35,45,95,ground,,Sand Veil,Arena Trap,Sand Force,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.2,1,255,50,2560,Medium Fast,0,0
51,Dugtrio,dugtrio,35,100,50,50,70,120,ground,,Sand Veil,Arena Trap,Sand Force,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.7,66.6,50,50,2560,Medium Fast,0,0
52,Meowth,meowth,40,45,35,40,40,90,normal,,Pickup,Technician,Unnerve,1,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.4,4.2,255,50,2560,Medium Fast,0,0
53,Persian,persian,65,70,60,65,65,115,normal,,Limber,Technician,Unnerve,1,50,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.1,33,90,50,2560,Medium Fast,0,0
54,Psyduck,psyduck,50,52,48,65,50,55,water,,Damp,Cloud Nine,Swift Swim,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.8,19.6,190,50,2560,Medium Fast,0,0
55,Golduck,golduck,80,82,78,95,80,85,water,,Damp,Cloud Nine,Swift Swim,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.7,76.6,75,50,2560,Medium Fast,0,0
56,Mankey,mankey,40,80,35,35,45,70,fighting,,Vital Spirit,Anger Point,Defiant,1,50,50,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.5,28,190,50,2560,Medium Fast,0,0
57,Primeape,primeape,65,105,60,60,70,95,fighting,,Vital Spirit,Anger Point,Defiant,1,50,50,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1,32,75,50,2560,Medium Fast,0,0
58,Growlithe,growlithe,55,70,45,70,50,60,fire,,Intimidate,Flash Fire,Justified,1,75,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.7,19,190,50,2560,Slow,0,0
59,Arcanine,arcanine,90,110,80,100,80,95,fire,,Intimidate,Flash Fire,Justified,1,75,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.9,155,75,50,2560,Slow,0,0
60,Poliwag,poliwag,40,50,40,40,40,90,water,,Water Absorb,Damp,Swift Swim,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.6,12.4,255,50,2560,Medium Slow,0,0
61,Poliwhirl,poliwhirl,65,65,65,50,50,90,water,,Water Absorb,Damp,Swift Swim,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,20,120,50,2560,Medium Slow,0,0
62,Poliwrath,poliwrath,90,95,95,70,90,70,water,fighting,Water Absorb,Damp,Swift Swim,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,1.3,54,45,50,2560,Medium Slow,0,0
63,Abra,abra,25,20,15,105,55,90,psychic,,Synchronize,Inner Focus,Magic Guard,1,75.49,24.51,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0.9,19.5,200,50,2560,Medium Slow,0,0
64,Kadabra,kadabra,40,35,30,120,70,105,psychic,,Synchronize,Inner Focus,Magic Guard,1,75.49,24.51,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1.3,56.5,100,50,2560,Medium Slow,0,0
65,Alakazam,alakazam,55,50,45,135,95,120,psychic,,Synchronize,Inner Focus,Magic Guard,1,75.49,24.51,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1.5,48,50,50,2560,Medium Slow,1,0
66,Machop,machop,70,80,50,35,35,35,fighting,,Guts,No Guard,Steadfast,1,75.49,24.51,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,0.8,19.5,180,50,2560,Medium Slow,0,0
67,Machoke,machoke,80,100,70,50,60,45,fighting,,Guts,No Guard,Steadfast,1,75.49,24.51,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1.5,70.5,90,50,2560,Medium Slow,0,0
68,Machamp,machamp,90,130,80,65,85,55,fighting,,Guts,No Guard,Steadfast,1,75.49,24.51,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1.6,130,45,50,2560,Medium Slow,0,0
69,Bellsprout,bellsprout,50,75,35,70,30,40,grass,poison,Chlorophyll,,Gluttony,1,50,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.7,4,255,50,2560,Medium Slow,0,0
70,Weepinbell,weepinbell,65,90,50,85,45,55,grass,poison,Chlorophyll,,Gluttony,1,50,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1,6.4,120,50,2560,Medium Slow,0,0
71,Victreebel,victreebel,80,105,65,100,70,70,grass,poison,Chlorophyll,,Gluttony,1,50,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,1.7,15.5,45,50,2560,Medium Slow,0,0
72,Tentacool,tentacool,40,40,35,50,100,70,water,poison,Clear Body,Liquid Ooze,Rain Dish,1,50,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0.9,45.5,190,50,2560,Slow,0,0
73,Tentacruel,tentacruel,80,70,65,80,120,100,water,poison,Clear Body,Liquid Ooze,Rain Dish,1,50,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,1.6,55,60,50,2560,Slow,0,0
74,Geodude,geodude,40,80,100,30,30,20,rock,ground,Rock Head,Sturdy,Sand Veil,1,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,0.4,20.3,255,50,1920,Medium Slow,0,0
75,Graveler,graveler,55,95,115,45,45,35,rock,ground,Rock Head,Sturdy,Sand Veil,1,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,1,110,120,50,1920,Medium Slow,0,0
76,Golem,golem,80,120,130,55,65,45,rock,ground,Rock Head,Sturdy,Sand Veil,1,50,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,1.7,316,45,50,1920,Medium Slow,0,0
77,Ponyta,ponyta,50,85,55,65,65,90,fire,,Run Away,Flash Fire,Flame Body,1,50.2,49.8,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.8,24,190,50,2560,Medium Fast,0,0
78,Rapidash,rapidash,65,100,70,80,80,105,fire,,Run Away,Flash Fire,Flame Body,1,50.2,49.8,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,1.7,80,60,50,2560,Medium Fast,0,0
79,Slowpoke,slowpoke,90,65,65,40,40,15,water,psychic,Oblivious,Own Tempo,Regenerator,1,50,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.2,36,190,50,2560,Medium Fast,0,0
80,Slowbro,slowbro,95,75,110,100,80,30,water,psychic,Oblivious,Own Tempo,Regenerator,1,50,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,1.6,70.5,75,50,2560,Medium Fast,1,0
81,Magnemite,magnemite,25,35,70,95,55,45,electric,steel,Magnet Pull,Sturdy,Analytic,1,,,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,0.3,6,190,50,2560,Medium Fast,0,0
82,Magneton,magneton,50,60,95,120,70,70,electric,steel,Magnet Pull,Sturdy,Analytic,1,,,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,1,60,60,50,2560,Medium Fast,0,0
83,Farfetch'd,farfetch'd,52,90,55,58,62,60,normal,flying,Keen Eye,Inner Focus,Defiant,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.8,42,45,50,2560,Medium Fast,0,0
84,Doduo,doduo,35,85,45,35,35,75,normal,flying,Run Away,Early Bird,Tangled Feet,1,50,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.4,39.2,190,50,2560,Medium Fast,0,0
85,Dodrio,dodrio,60,110,70,60,60,110,normal,flying,Run Away,Early Bird,Tangled Feet,1,50,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.8,85.2,45,50,2560,Medium Fast,0,0
86,Seel,seel,65,45,55,45,70,45,water,,Thick Fat,Hydration,Ice Body,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.1,90,190,50,2560,Medium Fast,0,0
87,Dewgong,dewgong,90,70,80,70,95,70,water,ice,Thick Fat,Hydration,Ice Body,1,50,50,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,1.7,120,75,50,2560,Medium Fast,0,0
88,Grimer,grimer,80,80,50,40,50,25,poison,,Stench,Sticky Hold,Poison Touch,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.7,42,190,50,2560,Medium Fast,0,0
89,Muk,muk,105,105,75,65,100,50,poison,,Stench,Sticky Hold,Poison Touch,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,1,52,75,50,2560,Medium Fast,0,0
90,Shellder,shellder,30,65,100,45,25,40,water,,Shell Armor,Skill Link,Overcoat,1,50,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.3,4,190,50,2560,Slow,0,0
91,Cloyster,cloyster,50,95,180,85,45,70,water,ice,Shell Armor,Skill Link,Overcoat,1,50,50,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,1.5,132.5,60,50,2560,Slow,0,0
92,Gastly,gastly,30,35,30,100,35,80,ghost,poison,Levitate,,,1,50,50,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,1.3,0.1,190,50,2560,Medium Slow,0,0
93,Haunter,haunter,45,50,45,115,55,95,ghost,poison,Levitate,,,1,50,50,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,1.6,0.1,90,50,2560,Medium Slow,0,0
94,Gengar,gengar,60,65,60,130,75,110,ghost,poison,Cursed Body,,,1,50,50,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,1.5,40.5,45,50,2560,Medium Slow,1,0
95,Onix,onix,35,45,160,30,45,70,rock,ground,Rock Head,Sturdy,Weak Armor,1,50.2,49.8,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,8.8,210,45,50,3200,Medium Fast,0,0
96,Drowzee,drowzee,60,48,45,43,90,42,psychic,,Insomnia,Forewarn,Inner Focus,1,50,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1,32.4,190,50,2560,Medium Fast,0,0
97,Hypno,hypno,85,73,70,73,115,67,psychic,,Insomnia,Forewarn,Inner Focus,1,50,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,1.6,75.6,75,50,2560,Medium Fast,0,0
98,Krabby,krabby,30,105,90,25,25,50,water,,Hyper Cutter,Shell Armor,Sheer Force,1,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.4,6.5,225,50,2560,Medium Fast,0,0
99,Kingler,kingler,55,130,115,50,50,75,water,,Hyper Cutter,Shell Armor,Sheer Force,1,50.2,49.8,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.3,60,60,50,2560,Medium Fast,0,0
100,Voltorb,voltorb,40,30,50,55,55,100,electric,,Soundproof,Static,Aftermath,1,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.5,10.4,190,50,2560,Medium Fast,0,0
101,Electrode,electrode,60,50,70,80,80,150,electric,,Soundproof,Static,Aftermath,1,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,1.2,66.6,60,50,2560,Medium Fast,0,0
102,Exeggcute,exeggcute,60,40,80,60,45,40,grass,psychic,Chlorophyll,,Harvest,1,50,50,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,0.4,2.5,90,50,2560,Slow,0,0
103,Exeggutor,exeggutor,95,95,85,125,75,55,grass,psychic,Chlorophyll,,Harvest,1,50,50,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1,10.9,415.6,45,50,2560,Slow,0,0
104,Cubone,cubone,50,50,95,40,50,35,ground,,Rock Head,Lightning Rod,Battle Armor,1,50.2,49.8,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.4,6.5,190,50,2560,Medium Fast,0,0
105,Marowak,marowak,60,80,110,50,80,45,ground,,Rock Head,Lightning Rod,Battle Armor,1,50.2,49.8,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,34,75,50,2560,Medium Fast,0,0
106,Hitmonlee,hitmonlee,50,120,53,35,110,87,fighting,,Limber,Reckless,Unburden,1,100,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1.5,49.8,45,50,3200,Medium Fast,0,0
107,Hitmonchan,hitmonchan,50,105,79,35,110,76,fighting,,Keen Eye,Iron Fist,Inner Focus,1,100,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,1.4,50.2,45,50,3200,Medium Fast,0,0
108,Lickitung,lickitung,90,55,75,60,75,30,normal,,Own Tempo,Oblivious,Cloud Nine,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1.2,65.5,45,50,2560,Medium Fast,0,0
109,Koffing,koffing,40,65,95,60,45,35,poison,,Levitate,Neutralizing Gas,Stench,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.6,1,190,50,2560,Medium Fast,0,0
110,Weezing,weezing,65,90,120,85,70,60,poison,,Levitate,Neutralizing Gas,Stench,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,3,16,60,50,2560,Medium Fast,0,0
