UniqeIdentifier,No.,Name,name_url,HP,Att,Def,S.Att,S.Def,Spd,Ph.Sweep,Sp.Sweep,Wall,Ph.Tank,Sp.Tank,PrimaryType,SecondaryType,Ability,Ability Gen,Ability Category,Activation Requirement,Gen,Male%,Female%,against_Normal,against_Fire,against_Water,against_Electric,against_Grass,against_Ice,against_Fight,against_Poison,against_Ground,against_Flying,against_Psychic,against_Bug,against_Rock,against_Ghost,against_Dragon,against_Dark,against_Steel,against_Fairy,Height (m),Weight (kg),Capture Rate,Base Happiness,Base Egg Steps,Experience Growth,mega_evolution,overall_legendary,final_stage,regional_form
6charizardBlaze1,6,Charizard,charizard,78,84,78,109,85,100,184,209,241,162,194,fire,flying,Blaze,3,Conditional Power Boosts,Yes,1,88,12,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,1.7,90.5,45,50,2560,Medium Slow,1,0,1,0
6charizardSolar Power1,6,Charizard,charizard,78,84,78,109,85,100,184,209,241,162,194,fire,flying,Solar Power,4,Stats Affected,Yes,1,88,12,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,1.7,90.5,45,50,2560,Medium Slow,1,0,1,0
7squirtleTorrent1,7,Squirtle,squirtle,44,48,65,50,64,43,91,93,173,113,114,water,,Torrent,3,Conditional Power Boosts,Yes,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,9,45,50,2560,Medium Slow,0,0,0,0
7squirtleRain Dish1,7,Squirtle,squirtle,44,48,65,50,64,43,91,93,173,113,114,water,,Rain Dish,3,Weather,Yes,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,9,45,50,2560,Medium Slow,0,0,0,0
8wartortleTorrent1,8,Wartortle,wartortle,59,63,80,65,80,58,121,123,219,143,145,water,,Torrent,3,Conditional Power Boosts,Yes,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,22.5,45,50,2560,Medium Slow,0,0,0,0
8wartortleRain Dish1,8,Wartortle,wartortle,59,63,80,65,80,58,121,123,219,143,145,water,,Rain Dish,3,Weather,Yes,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,22.5,45,50,2560,Medium Slow,0,0,0,0
9blastoiseTorrent1,9,Blastoise,blastoise,79,83,100,85,105,78,161,163,284,183,190,water,,Torrent,3,Conditional Power Boosts,Yes,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.6,85.5,45,50,2560,Medium Slow,1,0,1,0
9blastoiseRain Dish1,9,Blastoise,blastoise,79,83,100,85,105,78,161,163,284,183,190,water,,Rain Dish,3,Weather,Yes,1,88,12,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1.6,85.5,45,50,2560,Medium Slow,1,0,1,0
10caterpieShield Dust1,10,Caterpie,caterpie,45,30,35,20,20,45,75,65,100,65,40,bug,,Shield Dust,3,Miscellaneous,No,1,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.3,2.9,255,50,1920,Medium Fast,0,0,0,0
10caterpieRun Away1,10,Caterpie,caterpie,45,30,35,20,20,45,75,65,100,65,40,bug,,Run Away,3,Miscellaneous,No,1,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.3,2.9,255,50,1920,Medium Fast,0,0,0,0
11metapodShed Skin1,11,Metapod,metapod,50,20,55,25,25,30,50,55,130,75,50,bug,,Shed Skin,3,Miscellaneous,No,1,50.2,49.8,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.7,9.9,120,50,1920,Medium Fast,0,0,0,0
12butterfreeCompound Eyes1,12,Butterfree,butterfree,60,45,50,90,80,70,115,160,190,95,170,bug,flying,Compound Eyes,3,Stats Affected,No,1,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.1,32,45,50,1920,Medium Fast,0,0,1,0
12butterfreeTinted Lens1,12,Butterfree,butterfree,60,45,50,90,80,70,115,160,190,95,170,bug,flying,Tinted Lens,4,Conditional Power Boosts,No,1,50.2,49.8,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,1.1,32,45,50,1920,Medium Fast,0,0,1,0
13weedleShield Dust1,13,Weedle,weedle,40,35,30,20,20,50,85,70,90,65,40,bug,poison,Shield Dust,3,Miscellaneous,No,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.3,3.2,255,50,1920,Medium Fast,0,0,0,0
13weedleRun Away1,13,Weedle,weedle,40,35,30,20,20,50,85,70,90,65,40,bug,poison,Run Away,3,Miscellaneous,No,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.3,3.2,255,50,1920,Medium Fast,0,0,0,0
14kakunaShed Skin1,14,Kakuna,kakuna,45,25,50,25,25,35,60,60,120,75,50,bug,poison,Shed Skin,3,Miscellaneous,No,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.6,10,120,50,1920,Medium Fast,0,0,0,0
15beedrillSwarm1,15,Beedrill,beedrill,65,90,40,45,80,75,165,120,185,130,125,bug,poison,Swarm,3,Conditional Power Boosts,Yes,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1,29.5,45,50,1920,Medium Fast,1,0,1,0
15beedrillSniper1,15,Beedrill,beedrill,65,90,40,45,80,75,165,120,185,130,125,bug,poison,Sniper,4,Critical Hit Interaction,Yes,1,50.2,49.8,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,1,29.5,45,50,1920,Medium Fast,1,0,1,0
16pidgeyKeen Eye1,16,Pidgey,pidgey,40,45,40,35,35,56,101,91,115,85,70,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,1.8,255,50,1920,Medium Slow,0,0,0,0
16pidgeyTangled Feet1,16,Pidgey,pidgey,40,45,40,35,35,56,101,91,115,85,70,normal,flying,Tangled Feet,4,Stats Affected,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,1.8,255,50,1920,Medium Slow,0,0,0,0
16pidgeyBig Pecks1,16,Pidgey,pidgey,40,45,40,35,35,56,101,91,115,85,70,normal,flying,Big Pecks,5,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,1.8,255,50,1920,Medium Slow,0,0,0,0
17pidgeottoKeen Eye1,17,Pidgeotto,pidgeotto,63,60,55,50,50,71,131,121,168,115,100,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.1,30,120,50,1920,Medium Slow,0,0,0,0
17pidgeottoTangled Feet1,17,Pidgeotto,pidgeotto,63,60,55,50,50,71,131,121,168,115,100,normal,flying,Tangled Feet,4,Stats Affected,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.1,30,120,50,1920,Medium Slow,0,0,0,0
17pidgeottoBig Pecks1,17,Pidgeotto,pidgeotto,63,60,55,50,50,71,131,121,168,115,100,normal,flying,Big Pecks,5,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.1,30,120,50,1920,Medium Slow,0,0,0,0
18pidgeotKeen Eye1,18,Pidgeot,pidgeot,83,80,75,70,70,101,181,171,228,155,140,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.5,39.5,45,50,1920,Medium Slow,1,0,1,0
18pidgeotTangled Feet1,18,Pidgeot,pidgeot,83,80,75,70,70,101,181,171,228,155,140,normal,flying,Tangled Feet,4,Stats Affected,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.5,39.5,45,50,1920,Medium Slow,1,0,1,0
18pidgeotBig Pecks1,18,Pidgeot,pidgeot,83,80,75,70,70,101,181,171,228,155,140,normal,flying,Big Pecks,5,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.5,39.5,45,50,1920,Medium Slow,1,0,1,0
19rattataRun Away1,19,Rattata,rattata,30,56,35,25,35,72,128,97,100,91,60,normal,,Run Away,3,Miscellaneous,No,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.3,3.5,255,50,1920,Medium Fast,0,0,0,0
19rattataGuts1,19,Rattata,rattata,30,56,35,25,35,72,128,97,100,91,60,normal,,Guts,3,Conditional Power Boosts,Yes,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.3,3.5,255,50,1920,Medium Fast,0,0,0,0
19rattataHustle1,19,Rattata,rattata,30,56,35,25,35,72,128,97,100,91,60,normal,,Hustle,3,Stats Affected,No,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.3,3.5,255,50,1920,Medium Fast,0,0,0,0
19rattataGluttony7,19,Rattata,rattata,30,56,35,25,35,72,128,97,100,91,60,dark,normal,Gluttony,4,Miscellaneous,No,7,50.2,49.8,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,0.3,3.5,255,50,1920,Medium Fast,0,0,0,1
19rattataHustle7,19,Rattata,rattata,30,56,35,25,35,72,128,97,100,91,60,dark,normal,Hustle,3,Stats Affected,No,7,50.2,49.8,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,0.3,3.5,255,50,1920,Medium Fast,0,0,0,1
19rattataThick Fat7,19,Rattata,rattata,30,56,35,25,35,72,128,97,100,91,60,dark,normal,Thick Fat,3,Type Advantage and Manipulation,No,7,50.2,49.8,1,0.5,1,1,1,0.5,4,1,1,1,0,2,1,0,1,0.5,1,2,0.3,3.5,255,50,1920,Medium Fast,0,0,0,1
20raticateRun Away1,20,Raticate,raticate,55,81,60,50,70,97,178,147,185,141,120,normal,,Run Away,3,Miscellaneous,No,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.7,18.5,127,50,1920,Medium Fast,0,0,1,0
20raticateGuts1,20,Raticate,raticate,55,81,60,50,70,97,178,147,185,141,120,normal,,Guts,3,Conditional Power Boosts,Yes,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.7,18.5,127,50,1920,Medium Fast,0,0,1,0
20raticateHustle1,20,Raticate,raticate,55,81,60,50,70,97,178,147,185,141,120,normal,,Hustle,3,Stats Affected,No,1,50.2,49.8,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.7,18.5,127,50,1920,Medium Fast,0,0,1,0
20raticateGluttony7,20,Raticate,raticate,75,71,70,40,80,77,148,117,225,141,120,dark,normal,Gluttony,4,Miscellaneous,No,7,50.2,49.8,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,0.7,18.5,127,50,1920,Medium Fast,0,0,1,1
20raticateHustle7,20,Raticate,raticate,75,71,70,40,80,77,148,117,225,141,120,dark,normal,Hustle,3,Stats Affected,No,7,50.2,49.8,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,0.7,18.5,127,50,1920,Medium Fast,0,0,1,1
20raticateThick Fat7,20,Raticate,raticate,75,71,70,40,80,77,148,117,225,141,120,dark,normal,Thick Fat,3,Type Advantage and Manipulation,No,7,50.2,49.8,1,0.5,1,1,1,0.5,4,1,1,1,0,2,1,0,1,0.5,1,2,0.7,18.5,127,50,1920,Medium Fast,0,0,1,1
21spearowKeen Eye1,21,Spearow,spearow,40,60,30,31,31,70,130,101,101,90,62,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,2,255,50,1920,Medium Fast,0,0,0,0
21spearowSniper1,21,Spearow,spearow,40,60,30,31,31,70,130,101,101,90,62,normal,flying,Sniper,4,Critical Hit Interaction,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.3,2,255,50,1920,Medium Fast,0,0,0,0
22fearowKeen Eye1,22,Fearow,fearow,65,90,65,61,61,100,190,161,191,155,122,normal,flying,Keen Eye,3,Damage Modification,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.2,38,90,50,1920,Medium Fast,0,0,1,0
22fearowSniper1,22,Fearow,fearow,65,90,65,61,61,100,190,161,191,155,122,normal,flying,Sniper,4,Critical Hit Interaction,Yes,1,50.2,49.8,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,1.2,38,90,50,1920,Medium Fast,0,0,1,0
23ekansIntimidate1,23,Ekans,ekans,35,60,44,40,54,55,115,95,133,104,94,poison,,Intimidate,3,Stats Affected,No,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,2,6.9,255,50,2560,Medium Fast,0,0,0,0
23ekansShed Skin1,23,Ekans,ekans,35,60,44,40,54,55,115,95,133,104,94,poison,,Shed Skin,3,Miscellaneous,No,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,2,6.9,255,50,2560,Medium Fast,0,0,0,0
23ekansUnnerve1,23,Ekans,ekans,35,60,44,40,54,55,115,95,133,104,94,poison,,Unnerve,5,Miscellaneous,No,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,2,6.9,255,50,2560,Medium Fast,0,0,0,0
24arbokIntimidate1,24,Arbok,arbok,60,95,69,65,79,80,175,145,208,164,144,poison,,Intimidate,3,Stats Affected,No,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,3.5,65,90,50,2560,Medium Fast,0,0,1,0
24arbokShed Skin1,24,Arbok,arbok,60,95,69,65,79,80,175,145,208,164,144,poison,,Shed Skin,3,Miscellaneous,No,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,3.5,65,90,50,2560,Medium Fast,0,0,1,0
24arbokUnnerve1,24,Arbok,arbok,60,95,69,65,79,80,175,145,208,164,144,poison,,Unnerve,5,Miscellaneous,No,1,50,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,3.5,65,90,50,2560,Medium Fast,0,0,1,0
25pikachuStatic1,25,Pikachu,pikachu,35,55,40,50,50,90,145,140,125,95,100,electric,,Static,3,Stats Affected,No,1,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.4,6,190,50,1280,Medium Fast,0,0,1,0
25pikachuLightning Rod1,25,Pikachu,pikachu,35,55,40,50,50,90,145,140,125,95,100,electric,,Lightning Rod,3,Type Advantage and Manipulation,Yes,1,50,50,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.4,6,190,50,1280,Medium Fast,0,0,1,0
26raichuStatic1,26,Raichu,raichu,60,90,55,90,80,110,200,200,195,145,170,electric,,Static,3,Stats Affected,No,1,50,50,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.7,21,75,50,1280,Medium Fast,0,0,1,0
26raichuLightning Rod1,26,Raichu,raichu,60,90,55,90,80,110,200,200,195,145,170,electric,,Lightning Rod,3,Type Advantage and Manipulation,Yes,1,50,50,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.7,21,75,50,1280,Medium Fast,0,0,1,0
26raichuSurge Surfer7,26,Raichu,raichu,60,85,50,95,85,110,195,205,195,135,180,electric,psychic,Surge Surfer,7,Stats Affected,Yes,7,50,50,1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1,0.7,21,75,50,1280,Medium Fast,0,0,1,1
27sandshrewSand Veil1,27,Sandshrew,sandshrew,50,75,85,20,30,40,115,60,165,160,50,ground,,Sand Veil,3,Weather,Yes,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.7,40,255,50,2560,Medium Fast,0,0,0,0
27sandshrewSand Rush1,27,Sandshrew,sandshrew,50,75,85,20,30,40,115,60,165,160,50,ground,,Sand Rush,5,Stats Affected,Yes,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0.7,40,255,50,2560,Medium Fast,0,0,0,0
27sandshrewSnow Cloak7,27,Sandshrew,sandshrew,50,75,90,10,35,40,115,50,175,165,45,ice,steel,Snow Cloak,4,Stats Affected,Yes,7,50,50,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,0.7,40,255,50,2560,Medium Fast,0,0,0,1
27sandshrewSlush Rush7,27,Sandshrew,sandshrew,50,75,90,10,35,40,115,50,175,165,45,ice,steel,Slush Rush,7,Stats Affected,Yes,7,50,50,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,0.7,40,255,50,2560,Medium Fast,0,0,0,1
28sandslashSand Veil1,28,Sandslash,sandslash,75,100,110,45,55,65,165,110,240,210,100,ground,,Sand Veil,3,Weather,Yes,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1.2,55,90,50,2560,Medium Fast,0,0,1,0
28sandslashSand Rush1,28,Sandslash,sandslash,75,100,110,45,55,65,165,110,240,210,100,ground,,Sand Rush,5,Stats Affected,Yes,1,50,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1.2,55,90,50,2560,Medium Fast,0,0,1,0
28sandslashSnow Cloak7,28,Sandslash,sandslash,75,100,120,25,65,65,165,90,260,220,90,ice,steel,Snow Cloak,4,Stats Affected,Yes,7,50,50,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1.2,55,90,50,2560,Medium Fast,0,0,1,1
28sandslashSlush Rush7,28,Sandslash,sandslash,75,100,110,45,55,65,165,110,240,210,100,ice,steel,Slush Rush,7,Stats Affected,Yes,7,50,50,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1.2,55,90,50,2560,Medium Fast,0,0,1,1
29nidoranfPoison Point1,29,Nidoran♀,nidoranf,55,47,52,40,40,41,88,81,147,99,80,poison,,Poison Point,3,Status Affected,No,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.4,7,235,50,2560,Medium Slow,0,0,0,0
29nidoranfRivalry1,29,Nidoran♀,nidoranf,55,47,52,40,40,41,88,81,147,99,80,poison,,Rivalry,4,Stats Affected,No,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.4,7,235,50,2560,Medium Slow,0,0,0,0
29nidoranfHustle1,29,Nidoran♀,nidoranf,55,47,52,40,40,41,88,81,147,99,80,poison,,Hustle,3,Stats Affected,No,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.4,7,235,50,2560,Medium Slow,0,0,0,0
30nidorinaPoison Point1,30,Nidorina,nidorina,70,62,67,55,55,56,118,111,192,129,110,poison,,Poison Point,3,Status Affected,No,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.8,20,120,50,2560,Medium Slow,0,0,0,0
30nidorinaRivalry1,30,Nidorina,nidorina,70,62,67,55,55,56,118,111,192,129,110,poison,,Rivalry,4,Stats Affected,No,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.8,20,120,50,2560,Medium Slow,0,0,0,0
30nidorinaHustle1,30,Nidorina,nidorina,70,62,67,55,55,56,118,111,192,129,110,poison,,Hustle,3,Stats Affected,No,1,0,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.8,20,120,50,2560,Medium Slow,0,0,0,0
31nidoqueenPoison Point1,31,Nidoqueen,nidoqueen,90,92,87,75,85,76,168,151,262,179,160,poison,ground,Poison Point,3,Status Affected,No,1,0,100,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,1.3,60,45,50,2560,Medium Slow,0,0,1,0
31nidoqueenRivalry1,31,Nidoqueen,nidoqueen,90,92,87,75,85,76,168,151,262,179,160,poison,ground,Rivalry,4,Stats Affected,No,1,0,100,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,1.3,60,45,50,2560,Medium Slow,0,0,1,0
31nidoqueenSheer Force1,31,Nidoqueen,nidoqueen,90,92,87,75,85,76,168,151,262,179,160,poison,ground,Sheer Force,5,Stats Affected,Yes,1,0,100,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,1.3,60,45,50,2560,Medium Slow,0,0,1,0
32nidoranmPoison Point1,32,Nidoran♂,nidoranm,46,57,40,40,40,50,107,90,126,97,80,poison,,Poison Point,3,Status Affected,No,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.5,9,235,50,2560,Medium Slow,0,0,0,0
32nidoranmRivalry1,32,Nidoran♂,nidoranm,46,57,40,40,40,50,107,90,126,97,80,poison,,Rivalry,4,Stats Affected,No,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.5,9,235,50,2560,Medium Slow,0,0,0,0
32nidoranmHustle1,32,Nidoran♂,nidoranm,46,57,40,40,40,50,107,90,126,97,80,poison,,Hustle,3,Stats Affected,No,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.5,9,235,50,2560,Medium Slow,0,0,0,0
33nidorinoPoison Point1,33,Nidorino,nidorino,61,72,57,55,55,65,137,120,173,129,110,poison,,Poison Point,3,Status Affected,No,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.9,19.5,120,50,2560,Medium Slow,0,0,0,0
33nidorinoRivalry1,33,Nidorino,nidorino,61,72,57,55,55,65,137,120,173,129,110,poison,,Rivalry,4,Stats Affected,No,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.9,19.5,120,50,2560,Medium Slow,0,0,0,0
33nidorinoHustle1,33,Nidorino,nidorino,61,72,57,55,55,65,137,120,173,129,110,poison,,Hustle,3,Stats Affected,No,1,100,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.9,19.5,120,50,2560,Medium Slow,0,0,0,0
34nidokingPoison Point1,34,Nidoking,nidoking,81,102,77,85,75,85,187,170,233,179,160,poison,ground,Poison Point,3,Status Affected,No,1,100,0,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,1.4,62,45,50,2560,Medium Slow,0,0,1,0
